"","Country","Beverage Types","year","Alcohol..recorded.per.capita..15...consumption..in.litres.of.pure.alcohol."
"1","Afghanistan"," All types",1999,0
"2","Afghanistan"," All types",1998,0
"3","Afghanistan"," All types",1997,0
"4","Afghanistan"," All types",1996,0
"5","Afghanistan"," All types",1995,0
"6","Afghanistan"," All types",1994,0
"7","Afghanistan"," All types",1993,0
"8","Afghanistan"," All types",1992,0
"9","Afghanistan"," All types",1991,0
"10","Afghanistan"," All types",1990,0
"11","Afghanistan"," All types",1989,0
"12","Afghanistan"," All types",1988,0
"13","Afghanistan"," All types",1987,0
"14","Afghanistan"," All types",1986,0
"15","Afghanistan"," All types",1985,0
"16","Afghanistan"," All types",1984,0
"17","Afghanistan"," All types",1983,0
"18","Afghanistan"," All types",1982,0
"19","Afghanistan"," All types",1981,0
"20","Afghanistan"," All types",1980,0
"21","Afghanistan"," Beer",1999,0
"22","Afghanistan"," Beer",1998,0
"23","Afghanistan"," Beer",1997,0
"24","Afghanistan"," Beer",1996,0
"25","Afghanistan"," Beer",1995,0
"26","Afghanistan"," Beer",1994,0
"27","Afghanistan"," Beer",1993,0
"28","Afghanistan"," Beer",1992,0
"29","Afghanistan"," Beer",1991,0
"30","Afghanistan"," Beer",1990,0
"31","Afghanistan"," Beer",1989,0
"32","Afghanistan"," Beer",1988,0
"33","Afghanistan"," Beer",1987,0
"34","Afghanistan"," Beer",1986,0
"35","Afghanistan"," Beer",1985,0
"36","Afghanistan"," Beer",1984,0
"37","Afghanistan"," Beer",1983,0
"38","Afghanistan"," Beer",1982,0
"39","Afghanistan"," Beer",1981,0
"40","Afghanistan"," Beer",1980,0
"41","Afghanistan"," Wine",1999,0
"42","Afghanistan"," Wine",1998,0
"43","Afghanistan"," Wine",1997,0
"44","Afghanistan"," Wine",1996,0
"45","Afghanistan"," Wine",1995,0
"46","Afghanistan"," Wine",1994,0
"47","Afghanistan"," Wine",1993,0
"48","Afghanistan"," Wine",1992,0
"49","Afghanistan"," Wine",1991,0
"50","Afghanistan"," Wine",1990,0
"51","Afghanistan"," Wine",1989,0
"52","Afghanistan"," Wine",1988,0
"53","Afghanistan"," Wine",1987,0
"54","Afghanistan"," Wine",1986,0
"55","Afghanistan"," Wine",1985,0
"56","Afghanistan"," Wine",1984,0
"57","Afghanistan"," Wine",1983,0
"58","Afghanistan"," Wine",1982,0
"59","Afghanistan"," Wine",1981,0
"60","Afghanistan"," Wine",1980,0
"61","Afghanistan"," Spirits",1999,0
"62","Afghanistan"," Spirits",1998,0
"63","Afghanistan"," Spirits",1997,0
"64","Afghanistan"," Spirits",1996,0
"65","Afghanistan"," Spirits",1995,0
"66","Afghanistan"," Spirits",1994,0
"67","Afghanistan"," Spirits",1993,0
"68","Afghanistan"," Spirits",1992,0
"69","Afghanistan"," Spirits",1991,0
"70","Afghanistan"," Spirits",1990,0
"71","Afghanistan"," Spirits",1989,0
"72","Afghanistan"," Spirits",1988,0
"73","Afghanistan"," Spirits",1987,0
"74","Afghanistan"," Spirits",1986,0
"75","Afghanistan"," Spirits",1985,0
"76","Afghanistan"," Spirits",1984,0
"77","Afghanistan"," Spirits",1983,0
"78","Afghanistan"," Spirits",1982,0
"79","Afghanistan"," Spirits",1981,0
"80","Afghanistan"," Spirits",1980,0
"81","Afghanistan"," Other alcoholic beverages",1999,0
"82","Afghanistan"," Other alcoholic beverages",1998,0
"83","Afghanistan"," Other alcoholic beverages",1997,0
"84","Afghanistan"," Other alcoholic beverages",1996,0
"85","Afghanistan"," Other alcoholic beverages",1995,0
"86","Afghanistan"," Other alcoholic beverages",1994,0
"87","Afghanistan"," Other alcoholic beverages",1993,0
"88","Afghanistan"," Other alcoholic beverages",1992,0
"89","Afghanistan"," Other alcoholic beverages",1991,0
"90","Afghanistan"," Other alcoholic beverages",1990,0
"91","Afghanistan"," Other alcoholic beverages",1989,0
"92","Afghanistan"," Other alcoholic beverages",1988,0
"93","Afghanistan"," Other alcoholic beverages",1987,0
"94","Afghanistan"," Other alcoholic beverages",1986,0
"95","Afghanistan"," Other alcoholic beverages",1985,0
"96","Afghanistan"," Other alcoholic beverages",1984,0
"97","Afghanistan"," Other alcoholic beverages",1983,0
"98","Afghanistan"," Other alcoholic beverages",1982,0
"99","Afghanistan"," Other alcoholic beverages",1981,0
"100","Afghanistan"," Other alcoholic beverages",1980,0
"101","Albania"," All types",1999,2.19
"102","Albania"," All types",1998,1.54
"103","Albania"," All types",1997,2.22
"104","Albania"," All types",1996,3.12
"105","Albania"," All types",1995,2.87
"106","Albania"," All types",1994,2.77
"107","Albania"," All types",1993,1.49
"108","Albania"," All types",1992,1.35
"109","Albania"," All types",1991,1.28
"110","Albania"," All types",1990,2.03
"111","Albania"," All types",1989,1.73
"112","Albania"," All types",1988,1.67
"113","Albania"," All types",1987,1.63
"114","Albania"," All types",1986,1.39
"115","Albania"," All types",1985,1.6
"116","Albania"," All types",1984,1.58
"117","Albania"," All types",1983,1.68
"118","Albania"," All types",1982,1.51
"119","Albania"," All types",1981,1.84
"120","Albania"," All types",1980,1.79
"121","Albania"," Beer",1999,0.83
"122","Albania"," Beer",1998,0.46
"123","Albania"," Beer",1997,0.48
"124","Albania"," Beer",1996,0.59
"125","Albania"," Beer",1995,1.01
"126","Albania"," Beer",1994,1.27
"127","Albania"," Beer",1993,0.52
"128","Albania"," Beer",1992,0.09
"129","Albania"," Beer",1991,0.18
"130","Albania"," Beer",1990,0.42
"131","Albania"," Beer",1989,0.52
"132","Albania"," Beer",1988,0.56
"133","Albania"," Beer",1987,0.58
"134","Albania"," Beer",1986,0.57
"135","Albania"," Beer",1985,0.51
"136","Albania"," Beer",1984,0.43
"137","Albania"," Beer",1983,0.45
"138","Albania"," Beer",1982,0.45
"139","Albania"," Beer",1981,0.46
"140","Albania"," Beer",1980,0.44
"141","Albania"," Wine",1999,0.76
"142","Albania"," Wine",1998,0.62
"143","Albania"," Wine",1997,0.98
"144","Albania"," Wine",1996,1.37
"145","Albania"," Wine",1995,1.05
"146","Albania"," Wine",1994,0.68
"147","Albania"," Wine",1993,0.66
"148","Albania"," Wine",1992,0.67
"149","Albania"," Wine",1991,0.61
"150","Albania"," Wine",1990,0.65
"151","Albania"," Wine",1989,0.46
"152","Albania"," Wine",1988,0.37
"153","Albania"," Wine",1987,0.41
"154","Albania"," Wine",1986,0.24
"155","Albania"," Wine",1985,0.23
"156","Albania"," Wine",1984,0.25
"157","Albania"," Wine",1983,0.29
"158","Albania"," Wine",1982,0.2
"159","Albania"," Wine",1981,0.4
"160","Albania"," Wine",1980,0.44
"161","Albania"," Spirits",1999,0.59
"162","Albania"," Spirits",1998,0.42
"163","Albania"," Spirits",1997,0.77
"164","Albania"," Spirits",1996,1.16
"165","Albania"," Spirits",1995,0.81
"166","Albania"," Spirits",1994,0.82
"167","Albania"," Spirits",1993,0.32
"168","Albania"," Spirits",1992,0.6
"169","Albania"," Spirits",1991,0.49
"170","Albania"," Spirits",1990,0.96
"171","Albania"," Spirits",1989,0.75
"172","Albania"," Spirits",1988,0.74
"173","Albania"," Spirits",1987,0.64
"174","Albania"," Spirits",1986,0.57
"175","Albania"," Spirits",1985,0.86
"176","Albania"," Spirits",1984,0.9
"177","Albania"," Spirits",1983,0.94
"178","Albania"," Spirits",1982,0.86
"179","Albania"," Spirits",1981,0.97
"180","Albania"," Spirits",1980,0.91
"181","Albania"," Other alcoholic beverages",1999,0
"182","Albania"," Other alcoholic beverages",1998,0.03
"183","Albania"," Other alcoholic beverages",1997,0
"184","Albania"," Other alcoholic beverages",1996,0
"185","Albania"," Other alcoholic beverages",1995,0
"186","Albania"," Other alcoholic beverages",1994,0
"187","Albania"," Other alcoholic beverages",1993,0
"188","Albania"," Other alcoholic beverages",1992,0
"189","Albania"," Other alcoholic beverages",1991,0
"190","Albania"," Other alcoholic beverages",1990,0
"191","Albania"," Other alcoholic beverages",1989,NA
"192","Albania"," Other alcoholic beverages",1988,NA
"193","Albania"," Other alcoholic beverages",1987,NA
"194","Albania"," Other alcoholic beverages",1986,NA
"195","Albania"," Other alcoholic beverages",1985,NA
"196","Albania"," Other alcoholic beverages",1984,NA
"197","Albania"," Other alcoholic beverages",1983,NA
"198","Albania"," Other alcoholic beverages",1982,NA
"199","Albania"," Other alcoholic beverages",1981,NA
"200","Albania"," Other alcoholic beverages",1980,NA
"201","Algeria"," All types",1999,0.23
"202","Algeria"," All types",1998,0.26
"203","Algeria"," All types",1997,0.28
"204","Algeria"," All types",1996,0.29
"205","Algeria"," All types",1995,0.29
"206","Algeria"," All types",1994,0.25
"207","Algeria"," All types",1993,0.24
"208","Algeria"," All types",1992,0.2
"209","Algeria"," All types",1991,0.18
"210","Algeria"," All types",1990,0.19
"211","Algeria"," All types",1989,0.4
"212","Algeria"," All types",1988,0.42
"213","Algeria"," All types",1987,0.28
"214","Algeria"," All types",1986,0.29
"215","Algeria"," All types",1985,0.31
"216","Algeria"," All types",1984,0.33
"217","Algeria"," All types",1983,0.33
"218","Algeria"," All types",1982,0.42
"219","Algeria"," All types",1981,0.46
"220","Algeria"," All types",1980,0.48
"221","Algeria"," Beer",1999,0.22
"222","Algeria"," Beer",1998,0.26
"223","Algeria"," Beer",1997,0.27
"224","Algeria"," Beer",1996,0.28
"225","Algeria"," Beer",1995,0.28
"226","Algeria"," Beer",1994,0.24
"227","Algeria"," Beer",1993,0.23
"228","Algeria"," Beer",1992,0.19
"229","Algeria"," Beer",1991,0.17
"230","Algeria"," Beer",1990,0.18
"231","Algeria"," Beer",1989,0.16
"232","Algeria"," Beer",1988,0.17
"233","Algeria"," Beer",1987,0.17
"234","Algeria"," Beer",1986,0.18
"235","Algeria"," Beer",1985,0.19
"236","Algeria"," Beer",1984,0.2
"237","Algeria"," Beer",1983,0.19
"238","Algeria"," Beer",1982,0.27
"239","Algeria"," Beer",1981,0.27
"240","Algeria"," Beer",1980,0.27
"241","Algeria"," Wine",1999,0
"242","Algeria"," Wine",1998,0
"243","Algeria"," Wine",1997,0
"244","Algeria"," Wine",1996,0
"245","Algeria"," Wine",1995,0
"246","Algeria"," Wine",1994,0
"247","Algeria"," Wine",1993,0
"248","Algeria"," Wine",1992,0
"249","Algeria"," Wine",1991,0
"250","Algeria"," Wine",1990,0
"251","Algeria"," Wine",1989,0.23
"252","Algeria"," Wine",1988,0.25
"253","Algeria"," Wine",1987,0.1
"254","Algeria"," Wine",1986,0.1
"255","Algeria"," Wine",1985,0.11
"256","Algeria"," Wine",1984,0.12
"257","Algeria"," Wine",1983,0.13
"258","Algeria"," Wine",1982,0.13
"259","Algeria"," Wine",1981,0.17
"260","Algeria"," Wine",1980,0.19
"261","Algeria"," Spirits",1999,0.01
"262","Algeria"," Spirits",1998,0.01
"263","Algeria"," Spirits",1997,0.01
"264","Algeria"," Spirits",1996,0.01
"265","Algeria"," Spirits",1995,0.01
"266","Algeria"," Spirits",1994,0.01
"267","Algeria"," Spirits",1993,0.01
"268","Algeria"," Spirits",1992,0.01
