"","","Alcohol, former drinkers (%)","Alcohol, former drinkers (%)","Alcohol, former drinkers (%)"
"Country","Year"," Both sexes"," Male"," Female"
"Oman"," 2016","6.4","8","2.4"
"Pakistan"," 2016","2.3","3.5","1"
"Palau"," 2016",".",".","."
"Panama"," 2016","32.8","28.1","37.5"
"Papua New Guinea"," 2016","18.7","25.3","12"
"Paraguay"," 2016","39.3","37.6","41.1"
"Peru"," 2016","38","28.7","47.1"
"Philippines"," 2016","23.7","26.1","21.4"
"Poland"," 2016","18.5","12.7","23.7"
"Portugal"," 2016","18.2","12.4","23.3"
"Qatar"," 2016","9.5","10.4","6.6"
"Republic of Korea"," 2016","29","19.7","38"
"Republic of Moldova"," 2016","22","15","28.4"
"North Macedonia"," 2016","23.2","19.7","26.7"
"Romania"," 2016","19.3","13.4","24.7"
"Russian Federation"," 2016","14.6","14.7","14.6"
"Rwanda"," 2016","16.1","18.4","14.2"
"Saint Kitts and Nevis"," 2016","22.3","18.9","25.7"
"Saint Lucia"," 2016","24.3","21.6","26.8"
"Saint Vincent and the Grenadines"," 2016","24.3","22.8","25.9"
"Samoa"," 2016","20.9","27.3","14.1"
"San Marino"," 2016",".",".","."
"Sao Tome and Principe"," 2016","6","5.2","6.7"
"Saudi Arabia"," 2016","0.9","1.3","0.3"
"Senegal"," 2016","4.6","5.2","4.1"
"Serbia"," 2016","22.2","17","26.9"
"Seychelles"," 2016","21.9","18.5","25.3"
"Sierra Leone"," 2016","5.5","4.8","6.2"
"Singapore"," 2016","23.2","15.2","31"
"Slovakia"," 2016","17.1","11.5","22.6"
"Slovenia"," 2016","18.7","25.3","12.1"
"Solomon Islands"," 2016","2.2","3.5","1"
"Somalia"," 2016","15.5","18.5","12.7"
"South Sudan"," 2016",".",".","."
"Spain"," 2016","17.9","12.5","22.9"
"Sri Lanka"," 2016","23","26.8","19.6"
"Sudan"," 2016","2.5","3.9","1.1"
"Suriname"," 2016","23.7","23.4","23.9"
"Sweden"," 2016","15.4","10.4","20.3"
"Switzerland"," 2016","11.3","6.8","15.5"
"Syrian Arab Republic"," 2016","0.3","0.4","0.1"
"Tajikistan"," 2016","25.5","31.4","19.6"
"Thailand"," 2016","24.7","24.6","24.7"
"Timor-Leste"," 2016","20.4","25.7","15"
"Togo"," 2016","4.4","3.7","5.1"
"Tonga"," 2016","19.4","26","12.9"
"Trinidad and Tobago"," 2016","20.8","16.7","24.7"
"Tunisia"," 2016","3.6","5.6","1.6"
"Turkey"," 2016","4.1","6.4","1.9"
"Turkmenistan"," 2016","28","30.8","25.4"
"Tuvalu"," 2016","19.3","25.9","12.7"
