,,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)","Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)","Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)"
"Country","Year","Both sexes","Male","Female"
"Portugal","2016","38.4","53.1","20.3"
"Qatar","2016","50.7","55.3","20.9"
"Republic of Korea","2016","47.7","62.2","26.6"
"Republic of Moldova","2016","40.9","56","21.3"
"North Macedonia","2016","45.8","58.8","24.2"
"Romania","2016","51.7","67.2","31.2"
"Russian Federation","2016","60.6","78.8","43.7"
"Rwanda","2016","54.6","67.7","31.1"
"Saint Kitts and Nevis","2016","51.1","64.5","29.3"
"Saint Lucia","2016","49.7","62.9","27.8"
"Saint Vincent and the Grenadines","2016","48.4","60.5","25.7"
"Samoa","2016","62.2","71.5","35.6"
"San Marino","2016",".",".","."
"Sao Tome and Principe","2016","43.6","54.5","20.6"
"Saudi Arabia","2016","2.9","3.6","0.8"
"Senegal","2016","32.9","41.6","13.3"
"Serbia","2016","48.4","62.7","27.4"
"Seychelles","2016","46.8","59.9","24.6"
"Sierra Leone","2016","41.4","51.6","19.1"
"Singapore","2016","42.9","57.4","23.5"
"Slovakia","2016","52.3","68.1","31.7"
"Slovenia","2016","52.6","67.9","32"
"Solomon Islands","2016","60.3","69.9","34.4"
"Somalia","2016","6.2","7.6","1.7"
"South Africa","2016","59","70.8","33.7"
"South Sudan","2016",".",".","."
"Spain","2016","37.3","51.1","18.8"
"Sri Lanka","2016","31.7","40.8","13.2"
"Sudan","2016","18.1","22.1","5.7"
"Suriname","2016","44.4","56.1","21.9"
"Sweden","2016","38.3","52.1","20"
"Switzerland","2016","43.9","59.6","25.2"
"Syrian Arab Republic","2016","2","2.3","0.5"
"Tajikistan","2016","40.6","49.7","17.9"
"Thailand","2016","38.4","49.4","17.8"
"Timor-Leste","2016","30.3","37.7","11.7"
"Togo","2016","36.9","46.2","15.7"
"Tonga","2016","59.8","69.8","33.6"
"Trinidad and Tobago","2016","50.7","64.8","29.2"
"Tunisia","2016","21.1","23.9","6.3"
"Turkey","2016","21.7","25.9","6.9"
"Turkmenistan","2016","45.8","57","22.3"
"Tuvalu","2016","61.1","71","35"
"Uganda","2016","56.9","68.8","32.6"
"Ukraine","2016","28.3","43.1","13.3"
"United Arab Emirates","2016","39","41.7","13.9"
"United Kingdom of Great Britain and Northern Ireland","2016","40.6","55.1","22"
"United Republic of Tanzania","2016","55.8","67.8","32.1"
"United States of America","2016","36.4","50","18.3"
"Uruguay","2016","32.9","46.4","15.6"
"Uzbekistan","2016","39.1","48.6","16.9"
"Vanuatu","2016","59.5","69.1","33.7"
"Venezuela (Bolivarian Republic of)","2016","39.5","50.2","18.2"
"Viet Nam","2016","39.3","50.2","17.7"
"Yemen","2016","1.9","2.3","0.5"
"Zambia","2016","49.3","60.1","24.8"
"Zimbabwe","2016","50.6","60.9","25.5"
