,,"Alcohol, consumers past 12 months (%)","Alcohol, consumers past 12 months (%)","Alcohol, consumers past 12 months (%)"
"Country","Year","Both sexes","Male","Female"
"North Macedonia","2016","53.7","67.7","39.9"
"Romania","2016","67.2","80.1","55.5"
"Russian Federation","2016","58.1","61.4","55.4"
"Rwanda","2016","35","48.4","23.4"
"Saint Kitts and Nevis","2016","54.8","68.6","41.3"
"Saint Lucia","2016","49.7","63.9","36.3"
"Saint Vincent and the Grenadines","2016","46.6","60.3","32.8"
"Samoa","2016","16","22.9","8.5"
"San Marino","2016",".",".","."
"Sao Tome and Principe","2016","34","46.8","21.5"
"Saudi Arabia","2016","5.8","7.3","3.5"
"Senegal","2016","21.1","30.4","12.5"
"Serbia","2016","60","73.8","47"
"Seychelles","2016","54.9","68.7","40.9"
"Sierra Leone","2016","30.9","43.1","19.2"
"Singapore","2016","70","81.7","58.8"
"Slovakia","2016","71.3","82.9","60"
"Slovenia","2016","13.5","19.7","7.3"
"Solomon Islands","2016","0.7","1.1","0.3"
"Somalia","2016","31","43.2","19.4"
"South Sudan","2016",".",".","."
"Spain","2016","68.6","80.9","57"
"Sri Lanka","2016","28.7","40.6","17.9"
"Sudan","2016","2.3","3.4","1.1"
"Suriname","2016","42.2","55.8","28.7"
"Sweden","2016","73","83.9","62.2"
"Switzerland","2016","81.2","89.6","73"
"Syrian Arab Republic","2016","2","3.4","0.7"
"Tajikistan","2016","20.7","29.6","11.8"
"Thailand","2016","40.9","54.6","27.7"
"Timor-Leste","2016","21.6","30.6","12.4"
"Togo","2016","25.7","36.5","15.2"
"Tonga","2016","14.2","20.9","7.7"
"Trinidad and Tobago","2016","58.7","72.5","45.6"
"Tunisia","2016","5.2","8.9","1.6"
"Turkey","2016","6.9","11","3"
"Turkmenistan","2016","30.4","42.5","19"
"Tuvalu","2016","14.4","21.1","7.8"
"Uganda","2016","36.3","49.1","23.8"
"Ukraine","2016","61.8","68.7","56.1"
"United Arab Emirates","2016","18.5","21.7","7.9"
"United Kingdom of Great Britain and Northern Ireland","2016","73.4","84.3","63"
"United Republic of Tanzania","2016","36.4","49.3","24"
"United States of America","2016","71.7","83","60.7"
"Uruguay","2016","68.9","81.3","57.6"
"Uzbekistan","2016","20.8","30.1","12"
"Vanuatu","2016","13.6","19.9","7.4"
"Venezuela (Bolivarian Republic of)","2016","38","51.2","25.2"
"Viet Nam","2016","99.4","50","23.9"
"Yemen","2016","0.7","1.1","0.3"
"Zambia","2016","27.3","38.3","16.5"
"Zimbabwe","2016","17.6","25.7","10"
